Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
zingmfg,02002-01,Affinity Ballpoint Pen,"Getting your brand in front of customers is simple with this promotional writing
tool! The Affinity Ballpoint Pen is constructed of brass and features a
twist-action mechanism with matte color upper barrel and shiny chrome lower
barrel. This pen is mid-weight which feels great in your hands. We offer an
optional upgrade to our signature Triangle Gift box, for holiday or appreciation
gifts. Use our customization methods and add a brand name, logo or marketing
message. Reach potential clients far and wide the next time you give this
product away at your next event! Additional decoration charges may apply.
Additional decoration charges may apply.",,,,,12,49,5.18,,50,99,3.76,,100,249,3.59,,250,500,3.4,
zingmfg,02015-01-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01,EZ Glide Pen,"Glide across the paper with this promotional item! The EZ Glide is a brass
ballpoint pen with special gel ink that makes the pen glide with ease over your
writing surface. Each one is designed for an optimal writing experience so you
can quickly jot notes, brainstorm ideas smoothly and efficiently. Features
include chrome accents, click-action function and an included velvet sleeve. The
barrel allows for a larger engraving area compared to standard pens. Simply add
your company logo, name or message. We offer to upgrade to our signature
Triangle Gift box. Additional decoration charges may apply. Additional
decoration charges may apply.",,,,,12,49,4.52,,50,99,3.2,,100,249,3.03,,250,500,2.87,
zingmfg,02020-01-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-02,BLUE,BLUE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-25,BLUE,BLUE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-03,BURGUNDY,BURGUNDY,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-04,GOLD,GOLD,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-05,GREEN,GREEN,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-06,ORANGE,ORANGE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-07,PINK,PINK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-08,PURPLE,PURPLE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-09,RED,RED,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02020-01-00,SILVER,SILVER,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02021-01,Slender Carbon Fiber Ballpoint Pen,"Let this pen deliver your message even before hitting the paper! This elegant
ballpoint pent features a brass cap and carbon fiber barrel. Each one is
designed with material that makes colors radiate with its special
light-refracting effects, as well as a mid-weight feel to create a comfortable
grip. Simply add an imprinted business name or logo to create a promotional item
for your next marketing event. We offer optional upgrading to our signature
Triangle Gift box. Each pen comes with a velvet pouch. Additional decoration
charges may apply. Additional decoration charges may apply.",,,,,12,49,5.7,,50,99,4.32,,100,249,4.22,,250,500,4.09,
zingmfg,02021-01-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02021-02,Slender Carbon Fiber Rollerball Pen,"Let this pen deliver your message even before hitting the paper! Check out this
Slender Carbon Fiber Rollerball Pen, an elegant rollerball pen with a brass cap
and carbon fiber barrel with a velvet sleeve. Each one is designed with material
that makes colors radiate with its special light-refracting effects, as well as
a mid-weight feel to create a comfortable grip. We offer optional upgrading to
our signature Triangle Gift box for holiday or gift sets. Showcase your business
to create a promotional item for your next marketing event. Simply add your
logo, slogan or symbol and giveaway to future customers. Be sure to make your
mark! Additional decoration charges may apply. Additional decoration charges may
apply.",,,,,12,49,7.85,,50,99,5.9,,100,249,5.54,,250,500,5.18,
zingmfg,02021-02-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02021-02-00,SILVER,SILVER,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01,3 in 1 Stylus/Pen/Light,"We're giving not one, not two, but three reasons why you need this promotional
item at your next marketing event! This 3-in-1 item features a ballpoint pen,
multi functional stylus and bright LED flashlight. It's made from lightweight
durable aluminum and comes in an assortment of different colors. Add your
business name, logo or marketing message to create a promotional handout that's
bound to """"wow"""" potential customers! Additional decoration charges may apply.
Additional decoration charges may apply.",,,,,12,49,4.15,,50,99,2.7,,100,249,2.44,,250,500,2.18,
zingmfg,02024-01-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-03,BURGUNDY,BURGUNDY,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-04,GOLD,GOLD,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-05,GREEN,GREEN,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-06,ORANGE,ORANGE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-08,PURPLE,PURPLE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-09,RED,RED,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02024-01-00,SILVER,SILVER,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02025-01,2 in 1 Stylus/Pen,"We just doubled your need for this next promotional item! This 2-in-1 item
features a ballpoint pen and stylus with magnetic cap closure. It's designed to
provide a super smooth writing experience, while still being able to easily
switch to a convenient stylus for your touchscreen device. Tap into new
potential at the office, studio or workplace with this handy utensil. Step up
your promotional game and show off your company name or logo using our
customization process. Additional decoration charges may apply. Additional
decoration charges may apply.",,,,,12,49,5.57,,50,99,4.09,,100,249,3.86,,250,500,3.66,
zingmfg,02025-01-01,BLACK,BLACK,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02025-01-00,SILVER,SILVER,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02035-01,Stiletto Pen Set,"The Stiletto Pen Set includes both a rollerball and ballpoint pen that comes
packaged inside a soft, black felt-lined box. Write effortlessly when your use
these super smooth writing utensils to jot down important notes and memos.
Reliable and stylish, these two pens will sure to be favorites in your
collection. Best of all, we offer customization, perfect for putting your brand
name or logo on display. Create a promotional item that will get you noticed!
Additional decoration charges may apply. Additional decoration charges may
apply.",,,,,12,49,11.41,,50,99,8.67,,100,249,8.14,,250,500,7.68,
zingmfg,02035-01-19,CHARCOAL,CHARCOAL,,0,,,,,,,,,,,,,,,,,,,,
