Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Spector,BB146,Nomad must haves + clarity happy hands at home & on the go 3-piece bundle,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a nomad must haves + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg704 nomad must haves crossbody
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",,,,,20,59,46,C,60,99,44.25,C,100,174,42.75,C,175,299,41,C,300,600,38.5,C
Spector,00BB1460GRY,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a nomad must haves + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg704 nomad must haves crossbody
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Grey,#5B6770,0,,,,,,,,,,,,,,,,,,,,
Spector,BB147,Nomad must haves + clarity happy hands at home 3-piece kit,"Happy hands and self-care at home and on the go!
<br>
spector & co. Cares about your well-being and has partnered with *attitude<sup>&reg;</sup>  to keep you safe.
<br>
for the urban warrior, theres a nomad must haves + clarity bundle for you!
<br>
<br>
*attitude<sup>&reg;</sup> products are not sold separately and cannot be decorated.
<br>
<br>
<strong>
kit includes:
</strong>
<br>
bg700 nomad must haves accessory case
<br>
hw910 attitude<sup>&reg;</sup> natural foaming hand soap 10 fl oz / 295 ml
<br>
hw911 attitude<sup>&reg;</sup> intense nourishing hand cream 2.5 fl oz / 75 ml",,,,,20,44,50,C,45,109,48.5,C,110,164,47,C,165,299,46,C,300,600,44.5,C
Spector,00BB1470GRY,"Happy hands and self-care at home and on the go!
<br>
spector & co. Cares about your well-being and has partnered with *attitude<sup>&reg;</sup>  to keep you safe.
<br>
for the urban warrior, theres a nomad must haves + clarity bundle for you!
<br>
<br>
*attitude<sup>&reg;</sup> products are not sold separately and cannot be decorated.
<br>
<br>
<strong>
kit includes:
</strong>
<br>
bg700 nomad must haves accessory case
<br>
hw910 attitude<sup>&reg;</sup> natural foaming hand soap 10 fl oz / 295 ml
<br>
hw911 attitude<sup>&reg;</sup> intense nourishing hand cream 2.5 fl oz / 75 ml",Grey,#5B6770,436,,,,,,,,,,,,,,,,,,,,
Spector,BB148,Call of the wild + clarity happy hands at home & on the go 3-piece bundle,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a call of the wild + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg706 call of the wild water resistant accessory case
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",,,,,22,49,40,C,50,99,37.75,C,100,199,36.5,C,200,349,34.5,C,350,700,32,C
Spector,00BB1480BLK,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a call of the wild + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg706 call of the wild water resistant accessory case
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1480GRY,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a call of the wild + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg706 call of the wild water resistant accessory case
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Grey,#9EA6B4,0,,,,,,,,,,,,,,,,,,,,
Spector,BB150,Make it pop + clarity happy hands at the grocery store 3-piece bundle,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg202 make it pop packable duffle
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",,,,,30,74,31.25,C,75,174,29.75,C,175,274,28,C,275,349,27.25,C,350,700,25.75,C
Spector,00BB1500BLK,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg202 make it pop packable duffle
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1500BLU,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg202 make it pop packable duffle
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Blue,#1E22AA,0,,,,,,,,,,,,,,,,,,,,
